"","county","id","odate","capacity.KW","rotor.diameter.m","hub.heigh.m","Manufacture","Type.designation","county.no","Type.of.location","Cadastral.district","Cadastral.no","X.east.coordinate","Y.north.coordinate","Distribution.company.number","Type.of.connection","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","ddate","eastWest","fullLoad","scrapped","time","survival","under100","under150","under450","InstallYear"
"7330","Ålborg","w570715000000013515",1999-09-27,1000, 54.20, 45.00,"BONUS","1 MW",851,"LAND","Klitgaard, Ulsted","1d",  579122.4,  6329247.0,"76000-01","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 485423,1919681,1678161,1735514,1571916, 1737143, 1644257,1502091, 1873707,1755017, 1634773, 1567785, 1811363,NA,"east",1692.73136,0, 4691, 4691+,0,0,0,"1999"
"7331","Ålborg","w570715000000012297",1989-12-15, 150, 23.00, 30.00,"BONUS","150/30 kW",851,"LAND","Den mellemste del, Ulsted","1b2a",  575092.7,  6327817.5,"70045-02","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  13630, 312900, 296940, 290270, 314550, 341140, 293100, 246570, 270390, 301948, 253373, 286636, 245853, 254906, 224599,  255724,  236193, 209249,  247684, 220827,  227132,  193429,  252505,NA,"east",1753.46444,0, 8264, 8264+,0,1,1,"1989"
"7332","Ålborg","w570715000000010781",2000-12-30, 750, 48.00, 45.00,"NEG Micon","NM 48/750",851,"LAND","Oppelstrup by","1a",  560735.8,  6312632.8,"510","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078782,1383643,1272612, 1481746, 1402849,1304753, 1600325,1499306, 1371250, 1307033, 1570220,NA,"east",1870.15067,0, 4231, 4231+,0,0,0,"2000"
"7333","Ålborg","w570715000000013386",1997-10-27, 600, 48.00, 46.00,"NEG Micon","NM 1800-600",851,"LAND","Gåser By, Ø. Hassing","2",  573629.1,  6324496.2,"74000-01","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  42555,1623488,1311348,1426390,1234409,1349493,1211664, 1388583, 1319483,1200648, 1459040,1354843, 1268264, 1283605, 1432973,NA,"east",2234.77667,0, 5391, 5391+,0,0,0,"1997"
"7334","Ålborg","w570715000000011665",1990-04-10, 300, 28.00, 31.00,"Nordtank","NTK 300-Nordtank",851,"LAND","nørrekær enge","21",  526183.6,  6318377.0,"WNR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 260250, 398850, 391825, 414642, 420219, 377404, 329775, 351389, 392726, 343528, 366068, 293637, 284383, 328746,  408035,  377937, 331328,  473721, 351941,NA,NA,NA,2008-12-19,"east",1232.19863,1, 6828, 6828 ,0,0,1,"1990"
"7335","Ålborg","w570715000000013409",1997-10-27, 600, 48.00, 46.00,"NEG Micon","NM 1800-600",851,"LAND","Gåser By, Ø. Hassing","4",  573441.9,  6323696.2,"74000-01","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 106289,1665810,1331245,1536668,1241075,1349493,1211664, 1388583, 1319483,1200648, 1468771,1348580, 1223424, 1245833, 1372328,NA,"east",2247.59962,0, 5391, 5391+,0,0,0,"1997"
"7336","Ålborg","w570715000000010842",2001-07-04, 750, 48.00, 45.00,"NEG Micon","NM 48/750",851,"LAND","Oppelstrup by","6a",  560895.4,  6313198.0,"516","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 638196,1383643,1272612, 1459224, 1367215,1244709, 1534559,1449563, 1339541, 1294333, 1564587,NA,"east",1828.94800,0, 4045, 4045+,0,0,0,"2000"
"7337","Ålborg","w570715000000013416",1997-12-25, 600, 48.00, 46.00,"NEG Micon","NM 1800-600",851,"LAND","Gåser By, Ø. Hassing","5",  573943.7,  6324396.4,"74000-01","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  10053,1625400,1277270,1485650,1239954,1349493,1211664, 1388583, 1319483,1200648, 1454186,1288999, 1275821, 1272392, 1420309,NA,"east",2229.42859,0, 5332, 5332+,0,0,0,"1997"
"7338","Ålborg","w570715000000010859",2000-12-30, 750, 48.00, 45.00,"NEG Micon","NM 48/750",851,"LAND","Oppelstrup by","6k",  561015.8,  6313369.9,"517","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117835,1383643,1272612, 1470101, 1372151,1239601, 1544725,1480481, 1330832, 1353075, 1596296,NA,"east",1844.03274,0, 4231, 4231+,0,0,0,"2000"
"7339","Ålborg","w570715000000010873",2001-07-05, 750, 48.00, 45.00,"NEG Micon","NM 48/750",851,"LAND","Oppelstrup by","6a",  560811.8,  6313420.4,"519","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 638196,1383643,1272612, 1455840, 1378557,1251033, 1612324,1360824, 1308620, 1300232, 1554465,NA,"east",1825.73111,0, 4044, 4044+,0,0,0,"2000"
"7340","Ålborg","w570715000000012259",1989-11-10, 200, 25.40, 28.70,"Wincon","W 200",851,"LAND","Horsens Enge, Horsen","7d",  563600.4,  6328876.8,"70043-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  28090, 297810, 336610, 299040, 354820, 385810, 309920, 286450, 306580, 313456, 250839, 198281, 240707, 260135, 224428,  258312,  227639, 199016,  267351, 243768,  103007,NA,NA,2009-07-08,"east",1384.46632,1, 7180, 7180 ,0,0,1,"1989"
"7341","Ålborg","w570715000000013133",2000-12-28, 750, 48.00, 45.00,"NEG Micon","NM 48/750",851,"LAND","Vrå Hovedgård, Ajstrup","2bv",  555496.2,  6338030.7,"71300-00","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0, 792337,1257007,1147969, 1314720, 1224228,1106376, 1413691,1272473, 1148149, 1059448, 1289387,NA,"east",1564.85307,0, 4233, 4233+,0,0,0,"2000"
"7342","Ålborg","w570715000000012716",1998-07-01, 600, 44.00, 45.00,"Vestas","V 44-600",851,"LAND","Ajstrup, Ajstrup","20h",  561453.9,  6337582.3,"70071-01","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 663400,1021604,1275693,1124995,1158178,1068557, 1176701, 1124741,1000367, 1280313,1175488, 1080844,  978805, 1278867,NA,"east",1870.31750,0, 5144, 5144+,0,0,0,"1998"
